Compound,type,pH,logDexp_PDMS,logD_Eq1,logD_Eq2,id,logPN
1154-59-2,acid,7.4,1.31,0.73,0.74,1,3.69
114798-26-4,acid,7.4,-0.01,-2.44,-0.66,2,0.89
3380-34-5,acid,7.4,2.9,2.91,2.91,3,2.98
15307-86-5,acid,7.4,-0.65,-1.58,-0.78,4,1.75
72490-01-8,acid,7.4,2.99,3.08,3.08,5,3.08
609-19-8,acid,7.4,1.19,1.2,1.2,6,1.34
120-32-1,acid,7.4,2.16,2.19,2.19,7,2.19
1185255-09-7,acid,7.4,-0.46,-2.25,-0.68,8,2.89
1/8/64,acid,7.4,1.46,1.51,1.51,9,1.16
120983-64-4,acid,7.4,2.24,2.31,2.31,10,1.51
709-98-8,acid,7.4,1.47,1.48,1.48,11,2.31
6292-59-7,acid,7.4,1.07,1.11,1.11,12,1.48
578-95-0,acid,7.4,1.25,1.35,1.35,13,1.11
1/10/35,acid,7.4,-0.04,-0.14,-0.14,14,1.35
3622-84-2,acid,7.4,1.07,1.11,1.11,15,-0.14
934-34-9,acid,7.4,0.46,0,0.13,16,1.11
1077-56-1,acid,7.4,0.42,0.51,0.51,17,0.64
94-97-3,acid,7.4,0.79,0.63,0.66,18,0.78
136-85-6,acid,7.4,0.31,0.3,0.31,19,0.51
35079-97-1,acid,7.4,-0.44,-0.08,-0.08,20,0.74
118134-30-8,base,7.4,3.46,3.6,3.68,21,3.72
486-84-0,base,7.4,2.14,2.54,2.59,22,2.59
244-69-9,base,7.4,2.32,2.44,2.44,23,2.44
22916-47-8,base,7.4,4.58,4.48,4.53,24,4.53
67564-91-4,base,7.4,3.46,3.25,3.28,25,3.51
23593-75-1,base,7.4,4.39,4.2,4.28,26,4.34
60628-96-8,base,7.4,4.21,3.92,3.96,27,4.17
124495-18-7,base,7.4,4.12,4.18,4.19,28,4.19
121552-61-2,base,7.4,2.93,2.91,2.91,29,2.91
886-50-0,base,7.4,2.83,2.76,2.76,30,2.76
442-51-3,base,7.4,2.5,2.52,2.3,31,2.99
260-94-6,base,7.4,2.32,2.16,2.17,32,2.17
28291-75-0,base,7.4,3.08,3.04,3.04,33,3.04
28159-98-0,base,7.4,2.69,2.62,2.62,34,2.62
244-63-3,base,7.4,2.21,1.68,1.51,35,2.23
834-12-8,base,7.4,2.2,2.21,2.21,36,2.21
10287-53-3,base,7.4,2.27,2.18,2.18,37,2.18
99614-02-5,base,7.4,1.41,1.46,0.95,38,2.12
439-14-5,base,7.4,2.15,2.22,2.22,39,2.22
91-44-1,base,7.4,2.8,2.81,2.81,40,2.81
1014-70-6,base,7.4,1.81,1.81,1.81,41,1.81
148-79-8,base,7.4,1.69,1.69,1.69,42,1.69
105650-23-5,base,7.4,0.51,0.37,0.37,43,0.37
6740-88-1,base,7.4,1.99,2.07,2.15,44,2.26
4225-26-7,base,7.4,1.9,1.88,1.88,45,1.88
28821-18-3,base,7.4,1.86,1.82,1.83,46,1.83
94-09-7,base,7.4,0.43,0.45,0.45,47,0.45
23103-98-2,base,7.4,1.66,1.67,1.67,48,1.67
21087-64-9,base,7.4,0.5,-0.1,0.18,49,0.52
26093-31-2,base,7.4,0.8,0.85,0.85,50,0.85
676228-91-4,base,7.4,0.37,0.27,0.46,51,0.41
738-70-5,base,7.4,0.45,0.59,0.71,52,0.75